Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Irf7	Adssl1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Agpat4	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Atp8b4	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Cd86	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Ehd2	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Entpd1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Galnt7	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Gpd2	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Mdfic	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Pcgf5	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Ptprb	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Rassf3	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	1.14764139902e-06, 8.85755215896e-05, 8.85755215896e-05, 0.0833773921511, 0.174641174569, 0.174641174569	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf8	Adssl1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Agpat4	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Anxa11	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Atp8b4	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Cd86	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Crip1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Crip2	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Entpd1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Fyn	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Galnt7	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	2.05113669383e-07, 2.05113669383e-07, 7.36299717552e-06, 7.36299717552e-06, 1.07339837029e-05, 2.31180779748e-05	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
