Regulator	Target	Weight
Srf	Abcg1	-0.25
Foxj3	Abtb2	0.25
Rreb1	Abtb2	0.25
Hsf1	Ahsa1	-0.25
Rreb1	Alpk2	0.25
Hsf1	Amica1	-0.25
Hsf2	Amica1	-0.25
Srf	Asb2	-0.25
Hsf1	Atf3	-0.25
Hsf2	Atf3	-0.25
Srf	Atf3	-0.25
Foxj3	Basp1	0.25
Rreb1	Basp1	0.25
Hsf1	Bcl6	-0.25
Hsf2	Bcl6	-0.25
Srf	Bcl6	-0.25
Hsf1	Btg2	-0.25
Hsf2	Btg2	-0.25
Srf	Btg2	-0.25
Rreb1	Cd81	0.25
Hsf1	Chordc1	-0.25
Hsf2	Chordc1	-0.25
Foxj3	Cish	0.25
Hsf1	Cpm	-0.25
Hsf2	Cpm	-0.25
Srf	Cpm	-0.25
Foxj3	Cyth1	0.25
Hsf1	Dnajb1	-0.25
Hsf2	Dnajb1	-0.25
Srf	Dnajb1	-0.25
Rreb1	Dos	0.25
Srf	Egr1	-0.25
Srf	Egr2	-0.25
Foxj3	F5	0.25
Rreb1	F5	0.25
Rreb1	Fam129b	0.25
Srf	Fkbp4	-0.25
Hsf1	Fos	-0.25
Srf	Fos	-0.25
Hsf1	Hip1	-0.25
Hsf2	Hip1	-0.25
Hsf1	Hspa1a	-0.25
Hsf1	Hspa8	-0.25
Hsf2	Hspa8	-0.25
Hsf1	Hsph1	-0.25
Hsf2	Hsph1	-0.25
Foxj3	Igj	0.25
Rreb1	Igj	0.25
Srf	Irf1	-0.25
Rreb1	Kcnn4	0.25
Srf	Klf2	-0.25
Foxj3	Lats2	0.25
Srf	Lifr	-0.25
Rreb1	Lrp8	0.25
Foxj3	Map4k4	0.25
Hsf1	Met	-0.25
Hsf1	P4ha1	-0.25
Hsf2	P4ha1	-0.25
Srf	P4ha1	-0.25
Foxj3	Pkib	0.25
Rreb1	Pkib	0.25
Foxj3	Rnf157	0.25
Rreb1	Rnf157	0.25
Rreb1	Sipa1l2	0.25
Foxj3	Slc7a8	0.25
Rreb1	Spata13	0.25
Rreb1	Spred1	0.25
Foxj3	Stat4	0.25
Rreb1	Stat4	0.25
Hsf1	Stip1	-0.25
Hsf2	Stip1	-0.25
Srf	Stip1	-0.25
Srf	Trim14	-0.25
Rreb1	Vdr	0.25
Foxj3	Xcr1	0.25
Rreb1	Xcr1	0.25
