	Bclaf1	Ctcf	E2f1	E2f4	E2f6	Egr1	Egr3	Ets1	Etv6	Fos	Gabpa	Irf1	Klf16	Klf4	Klf5	Klf7	Nfya	Nfyb	Nrf1	Setdb1	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Tbp
Cyb5d1	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0
D10bwg1379e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
D3ertd254e	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
D3ertd751e	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
D630045j12rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dab2ip	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	-0.25
Dact3	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dcps	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ddr2	-0.25	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ddx31	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Dennd5b	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dffa	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dfna5	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0
Dhcr24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0
Dhx35	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Dll4	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dnajb1	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dock3	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dok2	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0
Dolk	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Dos	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dpy19l3	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dpy30	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dscam	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0
Dscc1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dtnbp1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Dtx3l	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
Dusp23	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dusp8	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
E2f7	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
E2f8	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0
E330009j07rik	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
E330033b04rik	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	0	-0.25
Eaf2	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Ebf1	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Ecm1	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0
Efhc1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Efhd1	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egf	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Egr1	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Eif2b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Elmo3	-0.25	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0
Eln	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0
Enkur	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Enpp1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Ercc6l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Erg	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Eya1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
F11r	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	-0.25
F8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Faah	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam131a	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0
Fam195a	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.75	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Fam3c	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Fam57a	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0
Fam65a	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Fam83c	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Fblim1	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
Fbln2	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbn1	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
Fbxo24	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25
Fbxo5	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Fbxw17	-0.25	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25
Fdps	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Fdxr	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Flnc	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Flt4	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Fndc1	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fndc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Fndc7	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25
Fos	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Frmd4a	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25
Fsip1	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25
Ftsj2	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Fxn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0
Gadd45gip1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Gale	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Gapdhs	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Gas6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0
Gbe1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Gcnt7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0
Gemin4	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Get4	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Gfod1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Ggt5	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	0
Gins3	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.75	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0
Gipc1	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Gk5	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Gm10863	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0
Gm14446	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Gm6904	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8221	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gna11	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Gna15	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Gnal	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Gpd2	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Gpr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Gpr33	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0
Gprc5c	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0
Grap2	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Grb10	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grik5	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	0
Gsg1	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25
Gtf2e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Gzmm	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
H2-k2	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0
Habp4	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Hamp	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Hap1	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Hddc2	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0
Hectd2	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Hemk1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Hes1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Hist1h2ag	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Hist1h2bf	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25
Hist1h4j	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25
Hist2h2be	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25
Hist2h3b	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25
Hmbs	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0
Hoxa1	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Hoxa2	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Hpgds	0	-0.25	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25
Hsh2d	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25
Hspa1a	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	-0.75	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0
Hspa1b	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0
Hsph1	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
I830012o16rik	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ier5l	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ifit2	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	0	0
Ifit3	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifrd2	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Igsf3	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ikbip	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Il11ra1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Il16	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0
Il17rd	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Il18r1	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25
Il1r1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Inf2	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ipo13	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Itpk1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Itpkb	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Jun	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Kbtbd11	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	-0.75	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Kcnd1	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Kcnh4	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.75	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Kcp	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Kctd11	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25
Kdr	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Keap1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Kif14	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0
Kif18b	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25
Kif2c	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0
Kirrel	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25
Kit	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Klf16	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Klf2	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
