Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Bcl11a	2310022A10Rik	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Agpat4	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Agtpbp1	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Alpk2	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Arhgap31	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	C5ar1	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Cryab	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Ctss	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	D16Ertd472e	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Dstn	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	1.29159233997e-06, 0.0014602956122, 0.77049797371	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
