Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Cebpb	4930513N10Rik	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Abtb2	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Actn1	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Agpat4	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Ankrd28	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Aph1c	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Arhgap28	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Arl2bp	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Asph	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
Cebpb	Btla	.25	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	0.000896255776016, 0.0635951497845, 0.0842262267713, 0.0842262267713, 0.113321203496, 0.225636825551, 0.339980897371, 0.339980897371, 0.412184436493, 0.461794668418, 0.466622464611, 0.541530094967, 0.561815092762, 0.613217367455, 0.716283735289, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.774396891473, 0.923159935503, 0.96357527082, 0.995100964592	M0307_1.01_mm9, M0308_1.01_mm9, M5814_1.01_mm9, E10124_hg19, E10125_hg19, E10126_hg19, E10127_hg19, E10128_hg19, E10129_hg19, E10130_hg19, E10131_hg19, E10132_hg19, E10133_hg19, E10134_hg19, E10135_hg19, M2138_1.01_hg19, M2905_1.01_hg19, M2906_1.01_hg19, M4399_1.01_hg19, M4426_1.01_hg19, M4476_1.01_hg19, M5133_1.01_hg19, M5134_1.01_hg19, M5989_1.01_hg19	Cebpb
