Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Hsf2	Cpm	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Dnajb1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Hip1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Hspa8	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Hsph1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	P4ha1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Hsf2	Stip1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	5.32929544939e-09, 5.32929544939e-09, 1.24519720834e-06, 0.318117102037, 0.318117102037, 0.318117102037	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19	Hsf2
Srf	Abcg1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Asb2	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Atf3	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Bcl6	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Btg2	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Cpm	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Dnajb1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Egr1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Egr2	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Fkbp4	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Fos	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Irf1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Klf2	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	Lifr	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
Srf	P4ha1	-.25	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	3.64889007898e-10, 1.46192582484e-08, 7.48416146834e-08, 7.48416146834e-08, 3.49649493248e-07, 4.06010972287e-07, 6.44021109331e-07, 6.45015454048e-07, 7.58333204653e-06, 9.21264240983e-06, 2.29051556406e-05, 2.29051556406e-05, 2.94412664115e-05, 2.94412664115e-05, 3.35816918733e-05, 3.88033305865e-05, 5.588981143e-05, 5.588981143e-05, 0.000134399921799, 0.000161257555509, 0.000252082680704, 0.000252082680704, 0.00639667406109, 0.0299270639173	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19	Srf
